Episode,Score,Reward,Epsilon,Avg_Score_50,Avg_Score_100,Avg_Reward_50,Avg_Reward_100,Self_Collisions,Wall_Collisions,Final_Length
1,20,986.0999999999999,0.01,20.0,20.0,986.0999999999999,986.0999999999999,1,0,21
2,21,996.3,0.01,20.5,20.5,991.1999999999999,991.1999999999999,1,0,22
3,5,156.9,0.01,15.333333333333334,15.333333333333334,713.0999999999999,713.0999999999999,0,1,6
4,19,907.7,0.01,16.25,16.25,761.75,761.75,1,0,20
5,15,629.5,0.01,16.0,16.0,735.3,735.3,1,0,16
6,0,-4.199999999999999,0.01,13.333333333333334,13.333333333333334,612.0500000000001,612.0500000000001,0,1,1
7,9,387.0,0.01,12.714285714285714,12.714285714285714,579.9,579.9,1,0,10
8,14,592.5,0.01,12.875,12.875,581.475,581.475,1,0,15
9,12,529.9,0.01,12.777777777777779,12.777777777777779,575.7444444444444,575.7444444444444,0,1,13
10,11,456.5,0.01,12.6,12.6,563.8199999999999,563.8199999999999,1,0,12
11,18,835.9000000000001,0.01,13.090909090909092,13.090909090909092,588.5545454545455,588.5545454545455,0,1,19
12,11,433.3,0.01,12.916666666666666,12.916666666666666,575.6166666666667,575.6166666666667,1,0,12
13,16,689.7,0.01,13.153846153846153,13.153846153846153,584.3923076923077,584.3923076923077,1,0,17
14,18,845.7,0.01,13.5,13.5,603.0571428571429,603.0571428571429,1,0,19
15,13,517.8,0.01,13.466666666666667,13.466666666666667,597.3733333333333,597.3733333333333,1,0,14
16,6,168.7,0.01,13.0,13.0,570.58125,570.58125,1,0,7
17,12,512.8000000000001,0.01,12.941176470588236,12.941176470588236,567.1823529411764,567.1823529411764,0,1,13
18,16,752.2,0.01,13.11111111111111,13.11111111111111,577.4611111111111,577.4611111111111,0,1,17
19,23,1150.9,0.01,13.631578947368421,13.631578947368421,607.6421052631579,607.6421052631579,1,0,24
20,12,511.69999999999993,0.01,13.55,13.55,602.845,602.845,0,1,13
21,1,24.6,0.01,12.952380952380953,12.952380952380953,575.3095238095239,575.3095238095239,0,1,2
22,8,253.0,0.01,12.727272727272727,12.727272727272727,560.6590909090909,560.6590909090909,1,0,9
23,22,1090.5,0.01,13.130434782608695,13.130434782608695,583.695652173913,583.695652173913,1,0,23
24,5,174.8,0.01,12.791666666666666,12.791666666666666,566.6583333333334,566.6583333333334,0,1,6
25,7,253.89999999999998,0.01,12.56,12.56,554.148,554.148,1,0,8
26,7,273.7,0.01,12.346153846153847,12.346153846153847,543.3615384615385,543.3615384615385,1,0,8
27,19,888.5,0.01,12.592592592592593,12.592592592592593,556.1444444444445,556.1444444444445,1,0,20
28,18,816.4,0.01,12.785714285714286,12.785714285714286,565.4392857142858,565.4392857142858,1,0,19
29,6,207.5,0.01,12.551724137931034,12.551724137931034,553.096551724138,553.096551724138,1,0,7
30,13,519.0,0.01,12.566666666666666,12.566666666666666,551.9600000000002,551.9600000000002,1,0,14
31,15,620.5,0.01,12.64516129032258,12.64516129032258,554.1709677419356,554.1709677419356,1,0,16
32,0,1.8000000000000007,0.01,12.25,12.25,536.9093750000001,536.9093750000001,0,1,1
33,20,965.0,0.01,12.484848484848484,12.484848484848484,549.8818181818183,549.8818181818183,1,0,21
