Episode,Score,Reward,Epsilon,Avg_Score_50,Avg_Score_100,Avg_Reward_50,Avg_Reward_100,Self_Collisions,Wall_Collisions,Final_Length
1,0,-10,0.9752487531218751,0.0,0.0,-10.0,-10.0,0,1,1
2,0,-10,0.7822236754458713,0.0,0.0,-10.0,-10.0,0,1,1
3,0,-10,0.4484282034609769,0.0,0.0,-10.0,-10.0,0,1,1
4,0,-10,0.08972259762946533,0.0,0.0,-10.0,-10.0,0,1,1
5,0,0,0.00998645168764533,0.0,0.0,-8.0,-8.0,0,0,1
6,0,0,0.00998645168764533,0.0,0.0,-6.666666666666667,-6.666666666666667,0,0,1
7,0,0,0.00998645168764533,0.0,0.0,-5.714285714285714,-5.714285714285714,0,0,1
8,0,-10,0.00998645168764533,0.0,0.0,-6.25,-6.25,0,1,1
9,0,-10,0.00998645168764533,0.0,0.0,-6.666666666666667,-6.666666666666667,0,1,1
10,0,0,0.00998645168764533,0.0,0.0,-6.0,-6.0,0,0,1
11,0,0,0.00998645168764533,0.0,0.0,-5.454545454545454,-5.454545454545454,0,0,1
12,0,0,0.00998645168764533,0.0,0.0,-5.0,-5.0,0,0,1
13,0,0,0.00998645168764533,0.0,0.0,-4.615384615384615,-4.615384615384615,0,0,1
14,0,0,0.00998645168764533,0.0,0.0,-4.285714285714286,-4.285714285714286,0,0,1
15,0,0,0.00998645168764533,0.0,0.0,-4.0,-4.0,0,0,1
16,0,0,0.00998645168764533,0.0,0.0,-3.75,-3.75,0,0,1
17,0,-10,0.00998645168764533,0.0,0.0,-4.117647058823529,-4.117647058823529,0,1,1
18,0,0,0.00998645168764533,0.0,0.0,-3.888888888888889,-3.888888888888889,0,0,1
19,0,-10,0.00998645168764533,0.0,0.0,-4.2105263157894735,-4.2105263157894735,0,1,1
20,1,10,0.00998645168764533,0.05,0.05,-3.5,-3.5,0,0,1
21,0,-10,0.00998645168764533,0.047619047619047616,0.047619047619047616,-3.8095238095238093,-3.8095238095238093,0,1,1
22,0,-10,0.00998645168764533,0.045454545454545456,0.045454545454545456,-4.090909090909091,-4.090909090909091,0,1,1
23,1,10,0.00998645168764533,0.08695652173913043,0.08695652173913043,-3.4782608695652173,-3.4782608695652173,0,0,1
24,0,-10,0.00998645168764533,0.08333333333333333,0.08333333333333333,-3.75,-3.75,0,1,1
25,0,-10,0.00998645168764533,0.08,0.08,-4.0,-4.0,0,1,1
26,1,10,0.00998645168764533,0.11538461538461539,0.11538461538461539,-3.4615384615384617,-3.4615384615384617,0,0,1
27,0,-10,0.00998645168764533,0.1111111111111111,0.1111111111111111,-3.7037037037037037,-3.7037037037037037,0,1,1
28,0,0,0.00998645168764533,0.10714285714285714,0.10714285714285714,-3.5714285714285716,-3.5714285714285716,0,0,1
29,0,0,0.00998645168764533,0.10344827586206896,0.10344827586206896,-3.4482758620689653,-3.4482758620689653,0,0,1
30,1,0,0.00998645168764533,0.13333333333333333,0.13333333333333333,-3.3333333333333335,-3.3333333333333335,0,1,2
31,1,10,0.00998645168764533,0.16129032258064516,0.16129032258064516,-2.903225806451613,-2.903225806451613,0,0,1
32,0,0,0.00998645168764533,0.15625,0.15625,-2.8125,-2.8125,0,0,1
33,1,0,0.00998645168764533,0.18181818181818182,0.18181818181818182,-2.727272727272727,-2.727272727272727,0,1,2
34,0,0,0.00998645168764533,0.17647058823529413,0.17647058823529413,-2.6470588235294117,-2.6470588235294117,0,0,1
35,1,10,0.00998645168764533,0.2,0.2,-2.2857142857142856,-2.2857142857142856,0,0,1
36,0,-10,0.00998645168764533,0.19444444444444445,0.19444444444444445,-2.5,-2.5,0,1,1
37,0,0,0.00998645168764533,0.1891891891891892,0.1891891891891892,-2.4324324324324325,-2.4324324324324325,0,0,1
38,0,0,0.00998645168764533,0.18421052631578946,0.18421052631578946,-2.3684210526315788,-2.3684210526315788,0,0,1
39,1,10,0.00998645168764533,0.20512820512820512,0.20512820512820512,-2.051282051282051,-2.051282051282051,0,0,1
40,2,20,0.00998645168764533,0.25,0.25,-1.5,-1.5,0,0,1
41,0,0,0.00998645168764533,0.24390243902439024,0.24390243902439024,-1.4634146341463414,-1.4634146341463414,0,0,1
42,0,0,0.00998645168764533,0.23809523809523808,0.23809523809523808,-1.4285714285714286,-1.4285714285714286,0,0,1
