Episode,Score,Reward,Epsilon,Avg_Score_50,Avg_Score_100,Avg_Reward_50,Avg_Reward_100,Self_Collisions,Wall_Collisions,Final_Length
1,0,-8,0.6433260027715241,0.0,0.0,-8.0,-8.0,0,1,1
2,0,-8,0.5562889678716474,0.0,0.0,-8.0,-8.0,0,1,1
3,0,-12,0.3936343764094253,0.0,0.0,-9.333333333333334,-9.333333333333334,0,1,1
4,0,-17,0.17475600159032884,0.0,0.0,-11.25,-11.25,0,1,1
5,3,83,0.1085487359239089,0.6,0.6,7.6,7.6,1,0,4
6,0,-4,0.06348840406243188,0.5,0.5,5.666666666666667,5.666666666666667,0,1,1
7,0,-8,0.017160047465104442,0.42857142857142855,0.42857142857142855,3.7142857142857144,3.7142857142857144,0,1,1
8,0,-3,0.01506324653745902,0.375,0.375,2.875,2.875,0,1,1
9,0,-18,0.012513320603703188,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5555555555555556,0,1,1
10,0,-7,0.011094979641301777,0.3,0.3,-0.2,-0.2,0,1,1
11,1,18,0.00998645168764533,0.36363636363636365,0.36363636363636365,1.4545454545454546,1.4545454545454546,0,1,2
12,0,10,0.00998645168764533,0.3333333333333333,0.3333333333333333,2.1666666666666665,2.1666666666666665,0,0,1
13,0,4,0.00998645168764533,0.3076923076923077,0.3076923076923077,2.3076923076923075,2.3076923076923075,0,0,1
14,0,4,0.00998645168764533,0.2857142857142857,0.2857142857142857,2.4285714285714284,2.4285714285714284,0,0,1
15,1,39,0.00998645168764533,0.3333333333333333,0.3333333333333333,4.866666666666666,4.866666666666666,0,0,1
16,0,3,0.00998645168764533,0.3125,0.3125,4.75,4.75,0,1,1
17,1,23,0.00998645168764533,0.35294117647058826,0.35294117647058826,5.823529411764706,5.823529411764706,0,1,2
18,3,92,0.00998645168764533,0.5,0.5,10.61111111111111,10.61111111111111,1,0,4
19,0,-2,0.00998645168764533,0.47368421052631576,0.47368421052631576,9.947368421052632,9.947368421052632,0,1,1
20,3,90,0.00998645168764533,0.6,0.6,13.95,13.95,1,0,4
21,1,17,0.00998645168764533,0.6190476190476191,0.6190476190476191,14.095238095238095,14.095238095238095,0,1,2
22,0,-2,0.00998645168764533,0.5909090909090909,0.5909090909090909,13.363636363636363,13.363636363636363,0,0,1
23,0,8,0.00998645168764533,0.5652173913043478,0.5652173913043478,13.130434782608695,13.130434782608695,0,0,1
24,1,35,0.00998645168764533,0.5833333333333334,0.5833333333333334,14.041666666666666,14.041666666666666,0,1,2
25,1,22,0.00998645168764533,0.6,0.6,14.36,14.36,0,1,2
26,0,0,0.00998645168764533,0.5769230769230769,0.5769230769230769,13.807692307692308,13.807692307692308,0,1,1
27,0,-7,0.00998645168764533,0.5555555555555556,0.5555555555555556,13.037037037037036,13.037037037037036,0,1,1
28,1,28,0.00998645168764533,0.5714285714285714,0.5714285714285714,13.571428571428571,13.571428571428571,0,1,2
29,0,-19,0.00998645168764533,0.5517241379310345,0.5517241379310345,12.448275862068966,12.448275862068966,0,1,1
30,0,0,0.00998645168764533,0.5333333333333333,0.5333333333333333,12.033333333333333,12.033333333333333,0,1,1
31,1,28,0.00998645168764533,0.5483870967741935,0.5483870967741935,12.548387096774194,12.548387096774194,0,1,2
32,3,87,0.00998645168764533,0.625,0.625,14.875,14.875,1,0,4
33,2,69,0.00998645168764533,0.6666666666666666,0.6666666666666666,16.515151515151516,16.515151515151516,0,1,3
34,1,16,0.00998645168764533,0.6764705882352942,0.6764705882352942,16.5,16.5,0,1,2
35,1,18,0.00998645168764533,0.6857142857142857,0.6857142857142857,16.542857142857144,16.542857142857144,0,1,2
36,1,20,0.00998645168764533,0.6944444444444444,0.6944444444444444,16.63888888888889,16.63888888888889,0,1,2
37,2,54,0.00998645168764533,0.7297297297297297,0.7297297297297297,17.64864864864865,17.64864864864865,0,1,3
38,0,-15,0.00998645168764533,0.7105263157894737,0.7105263157894737,16.789473684210527,16.789473684210527,0,1,1
39,0,1,0.00998645168764533,0.6923076923076923,0.6923076923076923,16.384615384615383,16.384615384615383,0,1,1
40,1,33,0.00998645168764533,0.7,0.7,16.8,16.8,0,0,1
41,3,96,0.00998645168764533,0.7560975609756098,0.7560975609756098,18.73170731707317,18.73170731707317,1,0,4
42,3,81,0.00998645168764533,0.8095238095238095,0.8095238095238095,20.214285714285715,20.214285714285715,1,0,4
43,1,10,0.00998645168764533,0.813953488372093,0.813953488372093,19.976744186046513,19.976744186046513,0,1,2
44,2,72,0.00998645168764533,0.8409090909090909,0.8409090909090909,21.15909090909091,21.15909090909091,0,0,1
45,1,25,0.00998645168764533,0.8444444444444444,0.8444444444444444,21.244444444444444,21.244444444444444,0,1,2
46,1,20,0.00998645168764533,0.8478260869565217,0.8478260869565217,21.217391304347824,21.217391304347824,0,1,2
47,1,27,0.00998645168764533,0.851063829787234,0.851063829787234,21.340425531914892,21.340425531914892,0,1,2
48,3,92,0.00998645168764533,0.8958333333333334,0.8958333333333334,22.8125,22.8125,1,0,4
49,4,158,0.00998645168764533,0.9591836734693877,0.9591836734693877,25.571428571428573,25.571428571428573,1,0,5
50,1,23,0.00998645168764533,0.96,0.96,25.52,25.52,0,1,2
51,0,2,0.00998645168764533,0.96,0.9411764705882353,25.72,25.058823529411764,0,1,1
52,0,2,0.00998645168764533,0.96,0.9230769230769231,25.92,24.615384615384617,0,1,1
53,1,20,0.00998645168764533,0.98,0.9245283018867925,26.56,24.528301886792452,0,1,2
54,0,-8,0.00998645168764533,0.98,0.9074074074074074,26.74,23.925925925925927,0,1,1
55,2,62,0.00998645168764533,0.96,0.9272727272727272,26.32,24.618181818181817,0,1,3
56,3,103,0.00998645168764533,1.02,0.9642857142857143,28.46,26.017857142857142,1,0,4
57,2,61,0.00998645168764533,1.06,0.9824561403508771,29.84,26.63157894736842,0,1,3
58,2,77,0.00998645168764533,1.1,1.0,31.44,27.5,0,1,3
59,3,77,0.00998645168764533,1.16,1.0338983050847457,33.34,28.338983050847457,1,0,4
60,3,92,0.00998645168764533,1.22,1.0666666666666667,35.32,29.4,1,0,4
61,3,90,0.00998645168764533,1.26,1.098360655737705,36.76,30.39344262295082,1,0,4
62,3,115,0.00998645168764533,1.32,1.1290322580645162,38.86,31.758064516129032,0,1,4
63,3,93,0.00998645168764533,1.38,1.1587301587301588,40.64,32.73015873015873,0,1,4
64,1,31,0.00998645168764533,1.4,1.15625,41.18,32.703125,0,0,1
65,3,100,0.00998645168764533,1.44,1.1846153846153846,42.4,33.738461538461536,0,1,4
66,3,100,0.00998645168764533,1.5,1.2121212121212122,44.34,34.74242424242424,1,0,4
67,0,-1,0.00998645168764533,1.48,1.1940298507462686,43.86,34.208955223880594,0,1,1
68,3,86,0.00998645168764533,1.48,1.2205882352941178,43.74,34.970588235294116,1,0,4
69,0,4,0.00998645168764533,1.48,1.2028985507246377,43.86,34.52173913043478,0,1,1
70,2,76,0.00998645168764533,1.46,1.2142857142857142,43.58,35.114285714285714,0,1,3
71,3,129,0.00998645168764533,1.5,1.2394366197183098,45.82,36.436619718309856,0,1,4
72,3,78,0.00998645168764533,1.56,1.2638888888888888,47.42,37.013888888888886,1,0,4
73,2,41,0.00998645168764533,1.6,1.273972602739726,48.08,37.06849315068493,0,1,3
74,1,11,0.00998645168764533,1.6,1.2702702702702702,47.6,36.71621621621622,0,1,2
75,4,170,0.00998645168764533,1.66,1.3066666666666666,50.56,38.49333333333333,0,1,5
76,0,1,0.00998645168764533,1.66,1.2894736842105263,50.58,38.0,0,1,1
77,1,29,0.00998645168764533,1.68,1.2857142857142858,51.3,37.883116883116884,0,1,2
78,5,227,0.00998645168764533,1.76,1.3333333333333333,55.28,40.30769230769231,1,0,6
79,2,61,0.00998645168764533,1.8,1.3417721518987342,56.88,40.56962025316456,0,1,3
80,3,87,0.00998645168764533,1.86,1.3625,58.62,41.15,1,0,4
81,3,122,0.00998645168764533,1.9,1.382716049382716,60.5,42.148148148148145,0,1,4
82,2,77,0.00998645168764533,1.88,1.3902439024390243,60.3,42.573170731707314,0,1,3
83,3,101,0.00998645168764533,1.9,1.4096385542168675,60.94,43.27710843373494,1,0,4
84,4,136,0.00998645168764533,1.96,1.4404761904761905,63.34,44.38095238095238,1,0,5
85,1,13,0.00998645168764533,1.96,1.4352941176470588,63.24,44.01176470588236,0,1,2
86,1,26,0.00998645168764533,1.96,1.430232558139535,63.36,43.80232558139535,0,1,2
87,4,165,0.00998645168764533,2.0,1.4597701149425288,65.58,45.195402298850574,0,1,5
88,2,61,0.00998645168764533,2.04,1.4659090909090908,67.1,45.375,0,1,3
89,1,31,0.00998645168764533,2.06,1.4606741573033708,67.7,45.21348314606742,0,0,1
90,4,146,0.00998645168764533,2.12,1.488888888888889,69.96,46.333333333333336,1,0,5
91,4,180,0.00998645168764533,2.14,1.5164835164835164,71.64,47.8021978021978,0,1,5
92,0,2,0.00998645168764533,2.08,1.5,70.06,47.30434782608695,0,1,1
93,1,39,0.00998645168764533,2.08,1.4946236559139785,70.64,47.215053763440864,0,0,1
94,2,74,0.00998645168764533,2.08,1.5,70.68,47.5,0,1,3
95,1,42,0.00998645168764533,2.08,1.4947368421052631,71.02,47.44210526315789,0,1,2
96,2,47,0.00998645168764533,2.1,1.5,71.56,47.4375,0,1,3
97,4,175,0.00998645168764533,2.16,1.5257731958762886,74.52,48.75257731958763,0,1,5
98,4,160,0.00998645168764533,2.18,1.5510204081632653,75.88,49.88775510204081,0,1,5
99,4,145,0.00998645168764533,2.18,1.5757575757575757,75.62,50.84848484848485,0,1,5
100,1,27,0.00998645168764533,2.18,1.57,75.7,50.61,0,0,1
101,2,53,0.00998645168764533,2.22,1.59,76.72,51.22,0,1,3
102,2,44,0.00998645168764533,2.26,1.61,77.56,51.74,0,1,3
103,3,106,0.00998645168764533,2.3,1.64,79.28,52.92,0,1,4
104,3,96,0.00998645168764533,2.36,1.67,81.36,54.05,1,0,4
105,3,91,0.00998645168764533,2.38,1.67,81.94,54.13,1,0,4
106,0,5,0.00998645168764533,2.32,1.67,79.98,54.22,0,1,1
107,2,36,0.00998645168764533,2.32,1.69,79.48,54.66,0,1,3
108,3,104,0.00998645168764533,2.34,1.72,80.02,55.73,1,0,4
109,4,182,0.00998645168764533,2.36,1.76,82.12,57.73,0,1,5
110,1,17,0.00998645168764533,2.32,1.77,80.62,57.97,0,1,2
111,3,93,0.00998645168764533,2.32,1.79,80.68,58.72,0,1,4
112,3,104,0.00998645168764533,2.32,1.82,80.46,59.66,0,1,4
113,2,78,0.00998645168764533,2.3,1.84,80.16,60.4,0,1,3
114,3,91,0.00998645168764533,2.34,1.87,81.36,61.27,1,0,4
115,1,20,0.00998645168764533,2.3,1.87,79.76,61.08,0,1,2
116,2,51,0.00998645168764533,2.28,1.89,78.78,61.56,0,1,3
117,3,111,0.00998645168764533,2.34,1.91,81.02,62.44,0,1,4
118,1,28,0.00998645168764533,2.3,1.89,79.86,61.8,0,1,2
119,2,47,0.00998645168764533,2.34,1.91,80.72,62.29,0,1,3
120,1,38,0.00998645168764533,2.32,1.89,79.96,61.77,0,1,2
121,2,89,0.00998645168764533,2.3,1.9,79.16,62.49,0,1,3
122,1,27,0.00998645168764533,2.26,1.91,78.14,62.78,0,1,2
123,5,257,0.00998645168764533,2.32,1.96,82.46,65.27,0,1,6
124,2,66,0.00998645168764533,2.34,1.97,83.56,65.58,0,1,3
125,3,109,0.00998645168764533,2.32,1.99,82.34,66.45,0,1,4
126,2,72,0.00998645168764533,2.36,2.01,83.76,67.17,0,1,3
127,1,36,0.00998645168764533,2.36,2.02,83.9,67.6,0,1,2
128,4,193,0.00998645168764533,2.34,2.05,83.22,69.25,0,1,5
129,2,38,0.00998645168764533,2.34,2.07,82.76,69.82,0,1,3
130,3,105,0.00998645168764533,2.34,2.1,83.12,70.87,0,1,4
131,3,113,0.00998645168764533,2.34,2.12,82.94,71.72,0,1,4
132,4,165,0.00998645168764533,2.38,2.13,84.7,72.5,0,1,5
133,4,153,0.00998645168764533,2.4,2.15,85.74,73.34,0,1,5
134,2,95,0.00998645168764533,2.36,2.16,84.92,74.13,0,1,3
135,1,25,0.00998645168764533,2.36,2.16,85.16,74.2,0,1,2
136,2,61,0.00998645168764533,2.38,2.17,85.86,74.61,0,1,3
137,3,106,0.00998645168764533,2.36,2.18,84.68,75.13,1,0,4
138,1,22,0.00998645168764533,2.34,2.19,83.9,75.5,0,1,2
139,3,80,0.00998645168764533,2.38,2.22,84.88,76.29,1,0,4
140,1,55,0.00998645168764533,2.32,2.22,83.06,76.51,0,1,2
141,3,119,0.00998645168764533,2.3,2.22,81.84,76.74,0,1,4
142,1,29,0.00998645168764533,2.32,2.2,82.38,76.22,0,1,2
143,3,95,0.00998645168764533,2.36,2.22,83.5,77.07,1,0,4
144,2,67,0.00998645168764533,2.36,2.22,83.36,77.02,0,1,3
145,3,123,0.00998645168764533,2.4,2.24,84.98,78.0,0,1,4
146,2,62,0.00998645168764533,2.4,2.25,85.28,78.42,0,1,3
147,1,23,0.00998645168764533,2.34,2.25,82.24,78.38,0,1,2
148,4,177,0.00998645168764533,2.34,2.26,82.58,79.23,0,1,5
149,2,67,0.00998645168764533,2.3,2.24,81.02,78.32,0,1,3
150,2,72,0.00998645168764533,2.32,2.25,81.92,78.81,0,1,3
151,3,97,0.00998645168764533,2.34,2.28,82.8,79.76,0,1,4
152,3,108,0.00998645168764533,2.36,2.31,84.08,80.82,0,1,4
153,3,90,0.00998645168764533,2.36,2.33,83.76,81.52,0,1,4
154,3,127,0.00998645168764533,2.36,2.36,84.38,82.87,0,1,4
155,3,123,0.00998645168764533,2.36,2.37,85.02,83.48,1,0,4
156,1,41,0.00998645168764533,2.38,2.35,85.74,82.86,0,1,2
157,4,171,0.00998645168764533,2.42,2.37,88.44,83.96,0,1,5
158,4,165,0.00998645168764533,2.44,2.39,89.66,84.84,0,1,5
159,3,78,0.00998645168764533,2.42,2.39,87.58,84.85,1,0,4
160,2,45,0.00998645168764533,2.44,2.38,88.14,84.38,0,1,3
161,2,75,0.00998645168764533,2.42,2.37,87.78,84.23,0,1,3
162,3,107,0.00998645168764533,2.42,2.37,87.84,84.15,0,1,4
163,2,73,0.00998645168764533,2.42,2.36,87.74,83.95,0,1,3
164,3,96,0.00998645168764533,2.42,2.38,87.84,84.6,1,0,4
165,2,63,0.00998645168764533,2.44,2.37,88.7,84.23,0,1,3
166,3,97,0.00998645168764533,2.46,2.37,89.62,84.2,1,0,4
167,3,89,0.00998645168764533,2.46,2.4,89.18,85.1,1,0,4
168,3,114,0.00998645168764533,2.5,2.4,90.9,85.38,0,1,4
169,4,153,0.00998645168764533,2.54,2.44,93.02,86.87,0,1,5
170,2,52,0.00998645168764533,2.56,2.44,93.3,86.63,0,1,3
171,3,108,0.00998645168764533,2.58,2.44,93.68,86.42,0,1,4
172,3,108,0.00998645168764533,2.62,2.44,95.3,86.72,0,1,4
173,3,98,0.00998645168764533,2.58,2.45,92.12,87.29,0,1,4
174,3,98,0.00998645168764533,2.6,2.47,92.76,88.16,0,1,4
175,4,166,0.00998645168764533,2.62,2.47,93.9,88.12,0,1,5
176,3,100,0.00998645168764533,2.64,2.5,94.46,89.11,1,0,4
177,0,1,0.00998645168764533,2.62,2.49,93.76,88.83,0,1,1
178,2,54,0.00998645168764533,2.58,2.46,90.98,87.1,0,1,3
179,3,76,0.00998645168764533,2.6,2.47,91.74,87.25,1,0,4
180,3,95,0.00998645168764533,2.6,2.47,91.54,87.33,1,0,4
181,4,184,0.00998645168764533,2.62,2.48,92.96,87.95,0,1,5
182,3,105,0.00998645168764533,2.6,2.49,91.76,88.23,1,0,4
183,2,70,0.00998645168764533,2.56,2.48,90.1,87.92,0,1,3
184,3,98,0.00998645168764533,2.58,2.47,90.16,87.54,1,0,4
185,5,253,0.00998645168764533,2.66,2.51,94.72,89.94,0,1,6
186,2,50,0.00998645168764533,2.66,2.52,94.5,90.18,0,1,3
187,3,109,0.00998645168764533,2.66,2.51,94.56,89.62,0,1,4
188,3,92,0.00998645168764533,2.7,2.52,95.96,89.93,0,1,4
189,4,174,0.00998645168764533,2.72,2.55,97.84,91.36,0,1,5
190,2,51,0.00998645168764533,2.74,2.53,97.76,90.41,0,1,3
191,3,106,0.00998645168764533,2.74,2.52,97.5,89.67,0,1,4
192,3,96,0.00998645168764533,2.78,2.55,98.84,90.61,1,0,4
193,2,44,0.00998645168764533,2.76,2.56,97.82,90.66,0,1,3
194,3,118,0.00998645168764533,2.78,2.57,98.84,91.1,0,1,4
195,0,6,0.00998645168764533,2.72,2.56,96.5,90.74,0,1,1
196,3,103,0.00998645168764533,2.74,2.57,97.32,91.3,0,1,4
197,2,62,0.00998645168764533,2.76,2.55,98.1,90.17,0,1,3
198,2,47,0.00998645168764533,2.72,2.53,95.5,89.04,0,1,3
199,3,107,0.00998645168764533,2.74,2.52,96.3,88.66,0,1,4
200,3,98,0.00998645168764533,2.76,2.54,96.82,89.37,0,1,4
1,3,91,0.01,3.0,3.0,91.0,91.0,0,1,4
2,3,107,0.01,3.0,3.0,99.0,99.0,0,1,4
3,0,-1,0.01,2.0,2.0,65.66666666666667,65.66666666666667,0,1,1
4,1,28,0.01,1.75,1.75,56.25,56.25,0,1,2
5,3,84,0.01,2.0,2.0,61.8,61.8,1,0,4
6,2,86,0.01,2.0,2.0,65.83333333333333,65.83333333333333,0,1,3
7,3,107,0.01,2.142857142857143,2.142857142857143,71.71428571428571,71.71428571428571,0,1,4
8,0,0,0.01,1.875,1.875,62.75,62.75,0,1,1
9,0,6,0.01,1.6666666666666667,1.6666666666666667,56.44444444444444,56.44444444444444,0,1,1
10,3,131,0.01,1.8,1.8,63.9,63.9,0,1,4
11,3,90,0.01,1.9090909090909092,1.9090909090909092,66.27272727272727,66.27272727272727,0,1,4
12,1,25,0.01,1.8333333333333333,1.8333333333333333,62.833333333333336,62.833333333333336,0,1,2
13,1,23,0.01,1.7692307692307692,1.7692307692307692,59.76923076923077,59.76923076923077,0,1,2
14,0,0,0.01,1.6428571428571428,1.6428571428571428,55.5,55.5,0,1,1
15,4,144,0.01,1.8,1.8,61.4,61.4,1,0,5
16,3,95,0.01,1.875,1.875,63.5,63.5,0,1,4
17,3,109,0.01,1.9411764705882353,1.9411764705882353,66.17647058823529,66.17647058823529,1,0,4
18,3,111,0.01,2.0,2.0,68.66666666666667,68.66666666666667,0,1,4
19,3,110,0.01,2.0526315789473686,2.0526315789473686,70.84210526315789,70.84210526315789,0,1,4
20,3,107,0.01,2.1,2.1,72.65,72.65,0,1,4
21,4,171,0.01,2.1904761904761907,2.1904761904761907,77.33333333333333,77.33333333333333,1,0,5
22,4,168,0.01,2.272727272727273,2.272727272727273,81.45454545454545,81.45454545454545,0,1,5
23,1,27,0.01,2.217391304347826,2.217391304347826,79.08695652173913,79.08695652173913,0,1,2
24,2,47,0.01,2.2083333333333335,2.2083333333333335,77.75,77.75,0,1,3
25,3,85,0.01,2.24,2.24,78.04,78.04,1,0,4
26,4,151,0.01,2.3076923076923075,2.3076923076923075,80.84615384615384,80.84615384615384,0,1,5
27,1,21,0.01,2.259259259259259,2.259259259259259,78.62962962962963,78.62962962962963,0,1,2
28,1,21,0.01,2.2142857142857144,2.2142857142857144,76.57142857142857,76.57142857142857,0,1,2
29,3,106,0.01,2.2413793103448274,2.2413793103448274,77.58620689655173,77.58620689655173,0,1,4
30,3,95,0.01,2.2666666666666666,2.2666666666666666,78.16666666666667,78.16666666666667,0,1,4
1,1,21,0.01,1.0,1.0,21.0,21.0,0,1,2
2,2,59,0.01,1.5,1.5,40.0,40.0,0,1,3
3,2,71,0.01,1.6666666666666667,1.6666666666666667,50.333333333333336,50.333333333333336,0,1,3
4,0,2,0.01,1.25,1.25,38.25,38.25,0,1,1
5,3,112,0.01,1.6,1.6,53.0,53.0,0,1,4
6,0,6,0.01,1.3333333333333333,1.3333333333333333,45.166666666666664,45.166666666666664,0,1,1
7,3,102,0.01,1.5714285714285714,1.5714285714285714,53.285714285714285,53.285714285714285,0,1,4
8,3,97,0.01,1.75,1.75,58.75,58.75,1,0,4
9,3,94,0.01,1.8888888888888888,1.8888888888888888,62.666666666666664,62.666666666666664,0,1,4
10,4,145,0.01,2.1,2.1,70.9,70.9,1,0,5
11,1,21,0.01,2.0,2.0,66.36363636363636,66.36363636363636,0,1,2
12,4,154,0.01,2.1666666666666665,2.1666666666666665,73.66666666666667,73.66666666666667,0,1,5
13,3,81,0.01,2.230769230769231,2.230769230769231,74.23076923076923,74.23076923076923,1,0,4
14,4,163,0.01,2.357142857142857,2.357142857142857,80.57142857142857,80.57142857142857,0,1,5
15,4,174,0.01,2.466666666666667,2.466666666666667,86.8,86.8,0,1,5
16,3,93,0.01,2.5,2.5,87.1875,87.1875,1,0,4
17,4,145,0.01,2.588235294117647,2.588235294117647,90.58823529411765,90.58823529411765,0,1,5
18,3,95,0.01,2.611111111111111,2.611111111111111,90.83333333333333,90.83333333333333,0,1,4
19,3,99,0.01,2.6315789473684212,2.6315789473684212,91.26315789473684,91.26315789473684,0,1,4
20,2,65,0.01,2.6,2.6,89.95,89.95,0,1,3
21,3,124,0.01,2.619047619047619,2.619047619047619,91.57142857142857,91.57142857142857,0,1,4
22,3,127,0.01,2.6363636363636362,2.6363636363636362,93.18181818181819,93.18181818181819,0,1,4
23,4,182,0.01,2.6956521739130435,2.6956521739130435,97.04347826086956,97.04347826086956,0,1,5
24,4,159,0.01,2.75,2.75,99.625,99.625,0,1,5
25,2,73,0.01,2.72,2.72,98.56,98.56,0,1,3
26,2,63,0.01,2.6923076923076925,2.6923076923076925,97.1923076923077,97.1923076923077,0,1,3
27,3,122,0.01,2.7037037037037037,2.7037037037037037,98.11111111111111,98.11111111111111,0,1,4
28,2,80,0.01,2.6785714285714284,2.6785714285714284,97.46428571428571,97.46428571428571,0,1,3
29,3,107,0.01,2.689655172413793,2.689655172413793,97.79310344827586,97.79310344827586,0,1,4
30,4,142,0.01,2.7333333333333334,2.7333333333333334,99.26666666666667,99.26666666666667,0,1,5
31,1,13,0.01,2.6774193548387095,2.6774193548387095,96.48387096774194,96.48387096774194,0,1,2
32,3,92,0.01,2.6875,2.6875,96.34375,96.34375,0,1,4
33,2,52,0.01,2.6666666666666665,2.6666666666666665,95.0,95.0,0,1,3
34,4,154,0.01,2.7058823529411766,2.7058823529411766,96.73529411764706,96.73529411764706,1,0,5
35,5,243,0.01,2.7714285714285714,2.7714285714285714,100.91428571428571,100.91428571428571,0,1,6
36,3,118,0.01,2.7777777777777777,2.7777777777777777,101.38888888888889,101.38888888888889,0,1,4
37,3,108,0.01,2.7837837837837838,2.7837837837837838,101.56756756756756,101.56756756756756,0,1,4
38,2,55,0.01,2.763157894736842,2.763157894736842,100.34210526315789,100.34210526315789,0,1,3
39,5,263,0.01,2.8205128205128207,2.8205128205128207,104.51282051282051,104.51282051282051,0,1,6
40,4,165,0.01,2.85,2.85,106.025,106.025,0,1,5
41,1,21,0.01,2.8048780487804876,2.8048780487804876,103.95121951219512,103.95121951219512,0,1,2
42,2,58,0.01,2.7857142857142856,2.7857142857142856,102.85714285714286,102.85714285714286,0,1,3
43,4,197,0.01,2.813953488372093,2.813953488372093,105.04651162790698,105.04651162790698,0,1,5
44,1,33,0.01,2.772727272727273,2.772727272727273,103.4090909090909,103.4090909090909,0,1,2
45,3,92,0.01,2.7777777777777777,2.7777777777777777,103.15555555555555,103.15555555555555,0,1,4
46,3,109,0.01,2.782608695652174,2.782608695652174,103.28260869565217,103.28260869565217,0,1,4
47,0,6,0.01,2.723404255319149,2.723404255319149,101.2127659574468,101.2127659574468,0,1,1
48,2,46,0.01,2.7083333333333335,2.7083333333333335,100.0625,100.0625,0,1,3
49,3,94,0.01,2.7142857142857144,2.7142857142857144,99.93877551020408,99.93877551020408,0,1,4
50,2,52,0.01,2.7,2.7,98.98,98.98,0,1,3
51,4,142,0.01,2.76,2.7254901960784315,101.4,99.82352941176471,1,0,5
52,2,64,0.01,2.76,2.7115384615384617,101.5,99.13461538461539,0,1,3
53,3,131,0.01,2.78,2.7169811320754715,102.7,99.73584905660377,0,1,4
54,3,117,0.01,2.84,2.7222222222222223,105.0,100.05555555555556,0,1,4
55,2,57,0.01,2.82,2.709090909090909,103.9,99.27272727272727,0,1,3
56,3,117,0.01,2.88,2.7142857142857144,106.12,99.58928571428571,0,1,4
57,0,2,0.01,2.82,2.6666666666666665,104.12,97.87719298245614,0,1,1
58,4,224,0.01,2.84,2.689655172413793,106.66,100.05172413793103,0,1,5
59,3,105,0.01,2.84,2.694915254237288,106.88,100.13559322033899,0,1,4
60,4,168,0.01,2.84,2.716666666666667,107.34,101.26666666666667,0,1,5
61,3,86,0.01,2.88,2.721311475409836,108.64,101.01639344262296,1,0,4
62,3,106,0.01,2.86,2.725806451612903,107.68,101.09677419354838,0,1,4
63,5,234,0.01,2.9,2.761904761904762,110.74,103.2063492063492,0,1,6
64,4,174,0.01,2.9,2.78125,110.96,104.3125,0,1,5
65,5,245,0.01,2.92,2.8153846153846156,112.38,106.47692307692307,0,1,6
66,4,168,0.01,2.94,2.8333333333333335,113.88,107.4090909090909,0,1,5
67,3,125,0.01,2.92,2.8358208955223883,113.48,107.67164179104478,0,1,4
68,2,59,0.01,2.9,2.823529411764706,112.76,106.95588235294117,0,1,3
69,2,71,0.01,2.88,2.8115942028985508,112.2,106.43478260869566,0,1,3
