Episode,Score,Reward,Epsilon,Avg_Score_50,Avg_Score_100,Avg_Reward_50,Avg_Reward_100,Self_Collisions,Wall_Collisions,Final_Length
1,0,-20,1.0,0.0,0.0,-20.0,-20.0,0,1,1
2,0,1,1.0,0.0,0.0,-9.5,-9.5,0,1,1
3,0,-22,1.0,0.0,0.0,-13.666666666666666,-13.666666666666666,0,1,1
4,0,-10,1.0,0.0,0.0,-12.75,-12.75,0,1,1
5,0,4,1.0,0.0,0.0,-9.4,-9.4,0,1,1
6,0,-1,1.0,0.0,0.0,-8.0,-8.0,0,1,1
7,0,-4,1.0,0.0,0.0,-7.428571428571429,-7.428571428571429,0,1,1
8,0,-6,1.0,0.0,0.0,-7.25,-7.25,0,1,1
9,0,-13,1.0,0.0,0.0,-7.888888888888889,-7.888888888888889,0,1,1
10,0,-18,1.0,0.0,0.0,-8.9,-8.9,0,1,1
11,2,130,1.0,0.18181818181818182,0.18181818181818182,3.727272727272727,3.727272727272727,0,1,3
12,0,1,1.0,0.16666666666666666,0.16666666666666666,3.5,3.5,0,1,1
13,0,-13,1.0,0.15384615384615385,0.15384615384615385,2.230769230769231,2.230769230769231,0,1,1
14,0,-12,1.0,0.14285714285714285,0.14285714285714285,1.2142857142857142,1.2142857142857142,0,1,1
15,0,-10,1.0,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.4666666666666667,0,1,1
16,0,-12,1.0,0.125,0.125,-0.3125,-0.3125,0,1,1
17,0,-21,0.996005996001,0.11764705882352941,0.11764705882352941,-1.5294117647058822,-1.5294117647058822,0,1,1
18,0,-16,0.9436225637280606,0.1111111111111111,0.1111111111111111,-2.3333333333333335,-2.3333333333333335,0,1,1
19,0,-5,0.8580640336044925,0.10526315789473684,0.10526315789473684,-2.473684210526316,-2.473684210526316,0,1,1
20,2,128,0.6688462043806328,0.2,0.2,4.05,4.05,0,1,3
21,0,-1,0.640681613386349,0.19047619047619047,0.19047619047619047,3.8095238095238093,3.8095238095238093,0,1,1
22,1,58,0.6063789448611848,0.22727272727272727,0.22727272727272727,6.2727272727272725,6.2727272727272725,0,1,2
23,0,8,0.5664966061305491,0.21739130434782608,0.21739130434782608,6.3478260869565215,6.3478260869565215,0,1,1
24,0,6,0.522921346063882,0.20833333333333334,0.20833333333333334,6.333333333333333,6.333333333333333,0,1,1
25,0,-1,0.46515585607821586,0.2,0.2,6.04,6.04,0,1,1
26,2,131,0.4133577680476022,0.2692307692307692,0.2692307692307692,10.846153846153847,10.846153846153847,0,1,3
27,3,233,0.3842436897667367,0.37037037037037035,0.37037037037037035,19.074074074074073,19.074074074074073,1,0,4
28,0,9,0.37400286247792053,0.35714285714285715,0.35714285714285715,18.714285714285715,18.714285714285715,0,1,1
29,1,57,0.36586062092624033,0.3793103448275862,0.3793103448275862,20.03448275862069,20.03448275862069,0,1,2
30,3,260,0.324469779929346,0.4666666666666667,0.4666666666666667,28.033333333333335,28.033333333333335,1,0,4
31,1,65,0.2249794988001053,0.4838709677419355,0.4838709677419355,29.225806451612904,29.225806451612904,0,1,2
32,3,270,0.19873002398761402,0.5625,0.5625,36.75,36.75,1,0,4
33,0,7,0.19616197792269574,0.5454545454545454,0.5454545454545454,35.84848484848485,35.84848484848485,0,1,1
34,1,48,0.18234567731717977,0.5588235294117647,0.5588235294117647,36.205882352941174,36.205882352941174,0,1,2
35,0,8,0.17624713746280615,0.5428571428571428,0.5428571428571428,35.4,35.4,0,1,1
36,2,142,0.16317914959423443,0.5833333333333334,0.5833333333333334,38.361111111111114,38.361111111111114,0,1,3
37,3,274,0.14942650179799613,0.6486486486486487,0.6486486486486487,44.729729729729726,44.729729729729726,1,0,4
38,3,257,0.11145913789278664,0.7105263157894737,0.7105263157894737,50.31578947368421,50.31578947368421,1,0,4
39,3,246,0.10623291888245365,0.7692307692307693,0.7692307692307693,55.333333333333336,55.333333333333336,1,0,4
40,2,166,0.09060908449456685,0.8,0.8,58.1,58.1,0,1,3
41,3,255,0.08610168326587533,0.8536585365853658,0.8536585365853658,62.90243902439025,62.90243902439025,1,0,4
42,4,393,0.08035822393544446,0.9285714285714286,0.9285714285714286,70.76190476190476,70.76190476190476,0,1,5
43,2,151,0.07689742751981384,0.9534883720930233,0.9534883720930233,72.62790697674419,72.62790697674419,0,1,3
44,4,383,0.06950661236461998,1.0227272727272727,1.0227272727272727,79.68181818181819,79.68181818181819,1,0,5
45,3,271,0.06072493138443261,1.0666666666666667,1.0666666666666667,83.93333333333334,83.93333333333334,1,0,4
46,3,252,0.05753119525912106,1.108695652173913,1.108695652173913,87.58695652173913,87.58695652173913,1,0,4
47,1,66,0.05510860158471143,1.1063829787234043,1.1063829787234043,87.12765957446808,87.12765957446808,0,1,2
48,1,62,0.051638798089334734,1.1041666666666667,1.1041666666666667,86.60416666666667,86.60416666666667,0,1,2
49,3,262,0.04872753504089373,1.1428571428571428,1.1428571428571428,90.18367346938776,90.18367346938776,1,0,4
50,3,246,0.04681596410987613,1.18,1.18,93.3,93.3,0,1,4
51,1,68,0.04565950270938761,1.2,1.1764705882352942,95.06,92.80392156862744,0,1,2
52,1,61,0.04448707694223361,1.22,1.1730769230769231,96.26,92.1923076923077,0,1,2
53,3,256,0.042147346266533756,1.28,1.2075471698113207,101.82,95.28301886792453,1,0,4
54,4,412,0.03634649129804764,1.36,1.2592592592592593,110.26,101.14814814814815,1,0,5
55,3,270,0.03402394875486053,1.42,1.290909090909091,115.58,104.21818181818182,1,0,4
56,4,386,0.03197753519540836,1.5,1.3392857142857142,123.32,109.25,1,0,5
57,4,368,0.030908048516573555,1.58,1.3859649122807018,130.76,113.78947368421052,1,0,5
58,3,262,0.027356538804877914,1.64,1.4137931034482758,136.12,116.34482758620689,1,0,4
59,1,65,0.026760972381959482,1.66,1.4067796610169492,137.68,115.47457627118644,0,1,2
60,2,140,0.02604774142061098,1.7,1.4166666666666667,140.84,115.88333333333334,0,1,3
61,2,165,0.024530102644801786,1.7,1.4262295081967213,141.54,116.68852459016394,0,1,3
62,3,259,0.023356528224210547,1.76,1.4516129032258065,146.7,118.98387096774194,0,1,4
63,4,373,0.02255279521758266,1.84,1.492063492063492,154.42,123.01587301587301,1,0,5
64,3,249,0.02177671986365648,1.9,1.515625,159.64,124.984375,1,0,4
65,3,259,0.02061077473983736,1.96,1.5384615384615385,165.02,127.04615384615384,0,1,4
66,3,245,0.01958547984910047,2.02,1.5606060606060606,170.16,128.83333333333334,1,0,4
67,3,242,0.018779530127923893,2.08,1.5820895522388059,175.42,130.52238805970148,1,0,4
68,4,390,0.017196801793633632,2.16,1.6176470588235294,183.54,134.33823529411765,1,0,5
69,1,52,0.017008579966197025,2.18,1.608695652173913,184.68,133.14492753623188,0,1,2
70,4,393,0.014191275299541046,2.22,1.6428571428571428,189.98,136.85714285714286,1,0,5
71,3,235,0.013840718338477354,2.28,1.6619718309859155,194.7,138.2394366197183,1,0,4
72,4,408,0.012853007456009499,2.34,1.6944444444444444,201.7,141.98611111111111,1,0,5
73,4,416,0.009998671593271896,2.42,1.726027397260274,209.86,145.73972602739727,1,0,5
74,4,377,0.009998671593271896,2.5,1.7567567567567568,217.28,148.86486486486487,1,0,5
75,3,246,0.009998671593271896,2.56,1.7733333333333334,222.22,150.16,1,0,4
76,3,264,0.009998671593271896,2.58,1.7894736842105263,224.88,151.6578947368421,1,0,4
77,3,253,0.009998671593271896,2.58,1.8051948051948052,225.28,152.97402597402598,1,0,4
78,5,529,0.009998671593271896,2.68,1.8461538461538463,235.68,157.7948717948718,1,0,6
79,5,536,0.009998671593271896,2.76,1.8860759493670887,245.26,162.58227848101265,1,0,6
80,3,265,0.009998671593271896,2.76,1.9,245.36,163.8625,1,0,4
81,3,258,0.009998671593271896,2.8,1.9135802469135803,249.22,165.02469135802468,1,0,4
82,1,58,0.009998671593271896,2.76,1.9024390243902438,244.98,163.71951219512195,0,1,2
83,3,252,0.009998671593271896,2.82,1.9156626506024097,249.88,164.78313253012047,1,0,4
84,3,278,0.009998671593271896,2.86,1.9285714285714286,254.48,166.13095238095238,1,0,4
85,4,406,0.009998671593271896,2.94,1.9529411764705882,262.44,168.95294117647057,1,0,5
86,3,258,0.009998671593271896,2.96,1.9651162790697674,264.76,169.98837209302326,1,0,4
87,4,391,0.009998671593271896,2.98,1.9885057471264367,267.1,172.5287356321839,1,0,5
88,5,552,0.009998671593271896,3.02,2.022727272727273,273.0,176.8409090909091,1,0,6
89,4,389,0.009998671593271896,3.04,2.044943820224719,275.86,179.22471910112358,1,0,5
90,4,431,0.009998671593271896,3.08,2.066666666666667,281.16,182.0222222222222,0,1,5
91,4,384,0.009998671593271896,3.1,2.087912087912088,283.74,184.24175824175825,1,0,5
92,5,560,0.009998671593271896,3.12,2.119565217391304,287.08,188.32608695652175,1,0,6
93,3,270,0.009998671593271896,3.14,2.129032258064516,289.46,189.20430107526883,1,0,4
94,3,244,0.009998671593271896,3.12,2.1382978723404253,286.68,189.7872340425532,1,0,4
95,2,166,0.009998671593271896,3.1,2.136842105263158,284.58,189.53684210526316,0,1,3
96,2,137,0.009998671593271896,3.08,2.1354166666666665,282.28,188.98958333333334,0,1,3
97,0,-14,0.009998671593271896,3.06,2.11340206185567,280.68,186.89690721649484,0,1,1
98,4,378,0.009998671593271896,3.12,2.13265306122449,287.0,188.8469387755102,1,0,5
99,4,406,0.009998671593271896,3.14,2.1515151515151514,289.88,191.04040404040404,0,1,5
100,3,249,0.009998671593271896,3.14,2.16,289.94,191.62,1,0,4
101,4,391,0.009998671593271896,3.2,2.2,296.4,195.73,1,0,5
102,3,244,0.009998671593271896,3.24,2.23,300.06,198.16,1,0,4
103,4,371,0.009998671593271896,3.26,2.27,302.36,202.09,1,0,5
104,7,963,0.009998671593271896,3.32,2.34,313.38,211.82,1,0,8
105,3,259,0.009998671593271896,3.32,2.37,313.16,214.37,1,0,4
106,2,155,0.009998671593271896,3.28,2.39,308.54,215.93,0,1,3
107,5,541,0.009998671593271896,3.3,2.44,312.0,221.38,0,1,6
108,3,248,0.009998671593271896,3.3,2.47,311.72,223.92,1,0,4
109,3,261,0.009998671593271896,3.34,2.5,315.64,226.66,1,0,4
110,4,400,0.009998671593271896,3.38,2.54,320.84,230.84,1,0,5
111,2,150,0.009998671593271896,3.38,2.54,320.54,231.04,0,1,3
112,3,242,0.009998671593271896,3.38,2.57,320.2,233.45,1,0,4
113,1,61,0.009998671593271896,3.32,2.58,313.96,234.19,0,1,2
114,5,572,0.009998671593271896,3.36,2.63,320.42,240.03,0,1,6
115,4,414,0.009998671593271896,3.38,2.67,323.52,244.27,1,0,5
116,5,580,0.009998671593271896,3.42,2.72,330.22,250.19,0,1,6
117,6,742,0.009998671593271896,3.48,2.78,340.22,257.82,0,1,7
118,4,383,0.009998671593271896,3.48,2.82,340.08,261.81,1,0,5
119,3,295,0.009998671593271896,3.52,2.85,344.94,264.81,0,1,4
120,1,62,0.009998671593271896,3.46,2.84,338.32,264.15,0,1,2
121,3,252,0.009998671593271896,3.46,2.87,338.66,266.68,0,1,4
122,4,400,0.009998671593271896,3.46,2.9,338.5,270.1,1,0,5
123,4,370,0.009998671593271896,3.46,2.94,337.58,273.72,1,0,5
124,5,564,0.009998671593271896,3.48,2.99,341.32,279.3,0,1,6
125,5,557,0.009998671593271896,3.52,3.04,347.54,284.88,1,0,6
126,4,395,0.009998671593271896,3.54,3.06,350.16,287.52,0,1,5
127,4,387,0.009998671593271896,3.56,3.07,352.84,289.06,1,0,5
128,4,390,0.009998671593271896,3.54,3.11,350.06,292.87,1,0,5
129,5,541,0.009998671593271896,3.54,3.15,350.16,297.71,0,1,6
130,5,564,0.009998671593271896,3.58,3.17,356.14,300.75,1,0,6
131,5,544,0.009998671593271896,3.62,3.21,361.86,305.54,0,1,6
132,3,234,0.009998671593271896,3.66,3.21,365.38,305.18,1,0,4
133,3,259,0.009998671593271896,3.66,3.24,365.52,307.7,1,0,4
134,6,709,0.009998671593271896,3.72,3.29,374.14,314.31,0,1,7
135,4,409,0.009998671593271896,3.72,3.33,374.2,318.32,1,0,5
136,4,395,0.009998671593271896,3.74,3.35,376.94,320.85,1,0,5
137,5,549,0.009998671593271896,3.76,3.37,380.1,323.6,0,1,6
138,3,258,0.009998671593271896,3.72,3.37,374.22,323.61,1,0,4
139,2,137,0.009998671593271896,3.68,3.36,369.18,322.52,0,1,3
140,6,742,0.009998671593271896,3.72,3.4,375.4,328.28,0,1,7
141,5,527,0.009998671593271896,3.74,3.42,378.26,331.0,0,1,6
142,5,549,0.009998671593271896,3.74,3.43,378.04,332.56,0,1,6
143,2,151,0.009998671593271896,3.72,3.43,375.66,332.56,0,1,3
144,1,72,0.009998671593271896,3.68,3.4,372.22,329.45,0,1,2
145,6,756,0.009998671593271896,3.76,3.43,384.02,334.3,1,0,7
146,3,248,0.009998671593271896,3.78,3.43,386.24,334.26,1,0,4
147,3,247,0.009998671593271896,3.84,3.45,391.46,336.07,1,0,4
148,1,66,0.009998671593271896,3.78,3.45,385.22,336.11,0,1,2
149,3,248,0.009998671593271896,3.76,3.45,382.06,335.97,1,0,4
150,4,373,0.009998671593271896,3.78,3.46,384.54,337.24,1,0,5
151,4,423,0.009998671593271896,3.78,3.49,385.18,340.79,0,1,5
152,5,550,0.009998671593271896,3.82,3.53,391.3,345.68,0,1,6
153,0,9,0.009998671593271896,3.74,3.5,384.06,343.21,0,1,1
154,3,265,0.009998671593271896,3.66,3.49,370.1,341.74,1,0,4
155,2,142,0.009998671593271896,3.64,3.48,367.76,340.46,0,1,3
156,2,129,0.009998671593271896,3.64,3.46,367.24,337.89,0,1,3
157,4,415,0.009998671593271896,3.62,3.46,364.72,338.36,0,1,5
158,4,391,0.009998671593271896,3.64,3.47,367.58,339.65,0,1,5
159,3,232,0.009998671593271896,3.64,3.49,367.0,341.32,1,0,4
160,2,145,0.009998671593271896,3.6,3.49,361.9,341.37,0,1,3
161,3,271,0.009998671593271896,3.62,3.5,364.32,342.43,1,0,4
162,4,360,0.009998671593271896,3.64,3.51,366.68,343.44,1,0,5
163,0,5,0.009998671593271896,3.62,3.47,365.56,339.76,0,1,1
164,3,261,0.009998671593271896,3.58,3.47,359.34,339.88,1,0,4
165,4,378,0.009998671593271896,3.58,3.48,358.62,341.07,1,0,5
166,3,259,0.009998671593271896,3.54,3.48,352.2,341.21,0,1,4
167,6,731,0.009998671593271896,3.54,3.51,351.98,346.1,0,1,7
168,5,545,0.009998671593271896,3.56,3.52,355.22,347.65,0,1,6
169,5,524,0.009998671593271896,3.6,3.56,359.8,352.37,1,0,6
170,4,385,0.009998671593271896,3.66,3.56,366.26,352.29,1,0,5
171,4,376,0.009998671593271896,3.68,3.57,368.74,353.7,1,0,5
172,3,263,0.009998671593271896,3.66,3.56,366.0,352.25,0,1,4
173,3,251,0.009998671593271896,3.64,3.55,363.62,350.6,1,0,4
174,5,556,0.009998671593271896,3.64,3.56,363.46,352.39,1,0,6
175,4,397,0.009998671593271896,3.62,3.57,360.26,353.9,1,0,5
176,0,-6,0.009998671593271896,3.54,3.54,352.24,351.2,0,1,1
177,6,747,0.009998671593271896,3.58,3.57,359.44,356.14,0,1,7
178,4,374,0.009998671593271896,3.58,3.56,359.12,354.59,1,0,5
179,1,68,0.009998671593271896,3.5,3.52,349.66,349.91,0,1,2
180,3,248,0.009998671593271896,3.46,3.52,343.34,349.74,1,0,4
181,3,249,0.009998671593271896,3.42,3.52,337.44,349.65,1,0,4
182,3,267,0.009998671593271896,3.42,3.54,338.1,351.74,1,0,4
183,4,405,0.009998671593271896,3.44,3.55,341.02,353.27,0,1,5
184,3,247,0.009998671593271896,3.38,3.55,331.78,352.96,1,0,4
185,6,727,0.009998671593271896,3.42,3.57,338.14,356.17,1,0,7
186,3,251,0.009998671593271896,3.4,3.57,335.26,356.1,1,0,4
187,5,557,0.009998671593271896,3.4,3.58,335.42,357.76,0,1,6
188,6,734,0.009998671593271896,3.46,3.59,344.94,359.58,1,0,7
189,1,63,0.009998671593271896,3.44,3.56,343.46,356.32,0,1,2
190,4,388,0.009998671593271896,3.4,3.56,336.38,355.89,1,0,5
191,3,241,0.009998671593271896,3.36,3.55,330.66,354.46,0,1,4
192,4,389,0.009998671593271896,3.34,3.54,327.46,352.75,1,0,5
193,4,374,0.009998671593271896,3.38,3.55,331.92,353.79,0,1,5
194,6,766,0.009998671593271896,3.48,3.58,345.8,359.01,1,0,7
195,4,402,0.009998671593271896,3.44,3.6,338.72,361.37,0,1,5
196,4,389,0.009998671593271896,3.46,3.62,341.54,363.89,1,0,5
197,3,278,0.009998671593271896,3.46,3.65,342.16,366.81,1,0,4
198,6,749,0.009998671593271896,3.56,3.67,355.82,370.52,1,0,7
199,1,60,0.009998671593271896,3.52,3.64,352.06,367.06,0,1,2
200,4,387,0.009998671593271896,3.52,3.65,352.34,368.44,0,1,5
201,6,722,0.009998671593271896,3.56,3.67,358.32,371.75,1,0,7
202,4,398,0.009998671593271896,3.54,3.68,355.28,373.29,1,0,5
203,4,391,0.009998671593271896,3.62,3.68,362.92,373.49,1,0,5
204,6,734,0.009998671593271896,3.68,3.67,372.3,371.2,0,1,7
205,4,372,0.009998671593271896,3.72,3.68,376.9,372.33,1,0,5
206,4,403,0.009998671593271896,3.76,3.7,382.38,374.81,0,1,5
207,6,737,0.009998671593271896,3.8,3.71,388.82,376.77,1,0,7
208,8,1183,0.009998671593271896,3.88,3.76,404.66,386.12,1,0,9
209,4,406,0.009998671593271896,3.9,3.77,408.14,387.57,0,1,5
210,3,260,0.009998671593271896,3.92,3.76,410.44,386.17,1,0,4
211,1,74,0.009998671593271896,3.88,3.75,406.5,385.41,0,1,2
212,1,60,0.009998671593271896,3.82,3.73,400.5,383.59,0,1,2
213,3,258,0.009998671593271896,3.88,3.75,405.56,385.56,1,0,4
214,5,529,0.009998671593271896,3.92,3.75,410.92,385.13,1,0,6
215,4,395,0.009998671593271896,3.92,3.75,411.26,384.94,1,0,5
216,4,390,0.009998671593271896,3.94,3.74,413.88,383.04,1,0,5
217,5,561,0.009998671593271896,3.92,3.73,410.48,381.23,1,0,6
218,6,736,0.009998671593271896,3.94,3.75,414.3,384.76,1,0,7
219,6,752,0.009998671593271896,3.96,3.78,418.86,389.33,0,1,7
220,4,394,0.009998671593271896,3.96,3.81,419.04,392.65,1,0,5
221,6,731,0.009998671593271896,4.0,3.84,426.14,397.44,1,0,7
222,1,64,0.009998671593271896,3.96,3.81,422.16,394.08,0,1,2
223,7,949,0.009998671593271896,4.04,3.84,436.12,399.87,1,0,8
